Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
20,"C Zheng, M Lu","Optimized reinforcement detailing design for sustainable construction: Slab case study",2016,"Procedia Engineering","Elsevier","https://www.sciencedirect.com/science/article/pii/S187770581630193X","https://scholar.google.com/scholar?cites=13708688254690246108&as_sdt=2005&sciodt=2007&hl=en",11,"2023-05-11 11:55:16","","","","",,,,,20,2.86,10,2,7,"… material waste [5]. The main objective for the classical CSP is minimizing the material waste… , [6–9], resulting in the optimized cutting pattern and corresponding waste. Though significant …","https://www.sciencedirect.com/science/article/pii/S187770581630193X/pdf?md5=d44892bf9f9f7bd2906357c2cc2a66ed&pid=1-s2.0-S187770581630193X-main.pdf&_valck=1","https://scholar.google.com/scholar?q=related:3L1h_VULP74J:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
11,"N Rodrigo, S Shashikala","One-dimensional cutting stock problem with cartesian coordinate points",2017,"International Journal of Systems …","researchgate.net","https://www.researchgate.net/profile/Niluka-Rodrigo/publication/326420708_One-Dimensional_Cutting_Stock_Problem_with_Cartesian_Coordinate_Points/links/602c8dbf299bf1cc26cf3d01/One-Dimensional-Cutting-Stock-Problem-with-Cartesian-Coordinate-Points.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail","https://scholar.google.com/scholar?cites=16049945982850991234&as_sdt=2005&sciodt=2007&hl=en",12,"2023-05-11 11:55:16","PDF","","","",,,,,11,1.83,6,2,6,"… by cutting smaller pieces from the main sheet. In this study, One-dimensional CSP is … minimizing the total wastage of the raw material or maximizing the overall profit obtained by …","https://www.researchgate.net/profile/Niluka-Rodrigo/publication/326420708_One-Dimensional_Cutting_Stock_Problem_with_Cartesian_Coordinate_Points/links/602c8dbf299bf1cc26cf3d01/One-Dimensional-Cutting-Stock-Problem-with-Cartesian-Coordinate-Points.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail","https://scholar.google.com/scholar?q=related:goQKzNXcvN4J:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
8,"G Evtimov, S Fidanova","Ant colony optimization algorithm for 1D cutting stock problem",2018,"… Computing in Industrial Mathematics: 11th Annual …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-65530-7_3","https://scholar.google.com/scholar?cites=7229249226036773129&as_sdt=2005&sciodt=2007&hl=en",13,"2023-05-11 11:55:16","","10.1007/978-3-319-65530-7_3","","",,,,,8,1.60,4,2,5,"… In this problem all used stocks length must be cut as much as possible. The … is as cutting waste and need to be minimized. Reduction of the cutting waste is a main goal of the 1D-CSP. …","","https://scholar.google.com/scholar?q=related:CYGwbt5zU2QJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
1,"Z Rahimi, M Maghrebi","Minimizing rebar cost using design and construction integration",2023,"Automation in Construction","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926580522005714","https://scholar.google.com/scholar?cites=14013062135767619074&as_sdt=2005&sciodt=2007&hl=en",14,"2023-05-11 11:55:16","","","","",,,,,1,1.00,1,2,1,"… that simultaneously minimizes rebar cut waste as … , CSP has been mainly hired to find the optimum cutting plan for rebar or profiles. In the case of the rebar-cutting plan, adopting CSP …","","https://scholar.google.com/scholar?q=related:AtbnocRleMIJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
2,"BP Silalahi, F Hanum, F Setyawan…","One-Dimensional Cutting Stock Problem that Minimizes The Number of Different Patterns",2022,"… Jurnal Ilmu Matematika …","ojs3.unpatti.ac.id","https://ojs3.unpatti.ac.id/index.php/barekeng/article/view/5442","https://scholar.google.com/scholar?cites=14680337048506794350&as_sdt=2005&sciodt=2007&hl=en",15,"2023-05-11 11:55:16","","","","",,,,,2,2.00,1,4,1,"… Increasing productivity can be done by minimizing waste of materials, labor time, or … This paper will discuss CSP, which was developed as a cutting stock problem that minimizes the …","https://ojs3.unpatti.ac.id/index.php/barekeng/article/download/5442/4598","https://scholar.google.com/scholar?q=related:bgFBD8QIu8sJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
0,"D Artan, P Tezcan, A Karlı, E Sertpoyraz…","Multiple Size Cutting Stock Problem in Steel Industry",2023,"Towards Industry 5.0 …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-24457-5_61","",16,"2023-05-11 11:55:16","","10.1007/978-3-031-24457-5_61","","",,,,,0,0.00,0,5,1,"… The one-dimensional cutting stock problem (CSP) is an NP-… production plan that minimizes the waste of cutting steel rods of … However different from the one-dimensional CSP, our model …","",""
25,"M Garraffa, F Salassa…","The one‐dimensional cutting stock problem with sequence‐dependent cut losses",2016,"International …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/itor.12095?casa_token=Xfp_CCzo5fkAAAAA:uf6DebSwCakz3PKrXInsR3XIcDyrX_nG1Y3ssTVNvatPxpL1m8cwohzatkb4TlF1YA8bF7b5shVC26TK","https://scholar.google.com/scholar?cites=7693136223321897433&as_sdt=2005&sciodt=2007&hl=en",17,"2023-05-11 11:55:16","","10.1111/itor.12095","","",,,,,25,3.57,8,3,7,"… cutting stock problem (1D-CSP). Many papers refer to material waste for a 1D-CSP as material that is not used in the cutting … a 1D-CSP with SDCL, which considers minimization of the …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/itor.12095?casa_token=7h4zXefyxoQAAAAA:CHq_T-FiO-tV6x28az39VMQL7U6OG_cMEW5GWrZToEaCSKLaLp8e_q0W2NVDXYGt2Z97RyYy3Gqvvjre","https://scholar.google.com/scholar?q=related:2bnKl6KCw2oJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
9,"D Tanir, O Ugurlu, A Guler, U Nuriyev","One-dimensional cutting stock problem with divisible items",2016,"arXiv preprint arXiv:1606.01419","arxiv.org","https://arxiv.org/abs/1606.01419","https://scholar.google.com/scholar?cites=12479520974135780305&as_sdt=2005&sciodt=2007&hl=en",18,"2023-05-11 11:55:16","","","","",,,,,9,1.29,2,4,7,"… In the model, the first constraint calculates the cutting waste of each stock in the cutting … classical CSP, called cutting stock problem with setup cost in which the objective is to minimize …","https://arxiv.org/pdf/1606.01419","https://scholar.google.com/scholar?q=related:0WNm5jQqMK0J:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
0,"A Robbes, KH Salem","A matheuristic for the 2D bounded-size cutting stock problem",2023,"24ème Congrès Annuel de la Société Française …","hal.science","https://hal.science/hal-04039120/document","",19,"2023-05-11 11:55:16","PDF","","","",,,,,0,0.00,0,2,1,"… the two-dimensional Cutting Stock Problem (2D-CSP). First … are bounded and the cutting objective is to minimize the total … cut, ▥ waste produced by second stage guillotine cut, and ▨ …","https://hal.science/hal-04039120/document",""
0,"S Rangel, JS Aguado","Unidimensional cutting stock problem: Mathematical models to minimize the number of saw cycles and objects.",2017,"… Series of the Brazilian Society of …","proceedings.sbmac.org.br","https://proceedings.sbmac.org.br/sbmac/article/viewFile/1643/1653","",20,"2023-05-11 11:55:16","PDF","","","",,,,,0,0.00,0,2,6,"… minimization of the total waste or the total number objects cut is the most common criterion used when solving the Cutting Stock Problem (CSP… models for the CSP-CO considering the …","https://proceedings.sbmac.org.br/sbmac/article/viewFile/1643/1653","https://scholar.google.com/scholar?q=related:ygxvCAsUEg4J:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
0,"V SHARMA","ASSESSMENT OF STOCK LENGTH FOR ONE DIMENSIONAL CUTTING STOCK PROBLEM (1D-CSP) WITH SUSTAINABLE TRIM LOSS",,"researchgate.net","","https://www.researchgate.net/profile/Siby-Samuel/publication/365943958_ASSESSMENT_OF_STOCK_LENGTH_FOR_ONE_DIMENSIONAL_CUTTING_STOCK_PROBLEM_1D-CSP_WITH_SUSTAINABLE_TRIM_LOSS/links/638975b22c563722f22d9c75/ASSESSMENT-OF-STOCK-LENGTH-FOR-ONE-DIMENSIONAL-CUTTING-STOCK-PROBLEM-1D-CSP-WITH-SUSTAINABLE-TRIM-LOSS.pdf","",21,"2023-05-11 11:55:16","PDF","","","",,,,,0,0.00,0,1,,"… cutting is planned to minimize the waste of stock length used and maximize profit. The main objective of the cutting … for solving the 1D-CSP. These approaches are used for generating …","https://www.researchgate.net/profile/Siby-Samuel/publication/365943958_ASSESSMENT_OF_STOCK_LENGTH_FOR_ONE_DIMENSIONAL_CUTTING_STOCK_PROBLEM_1D-CSP_WITH_SUSTAINABLE_TRIM_LOSS/links/638975b22c563722f22d9c75/ASSESSMENT-OF-STOCK-LENGTH-FOR-ONE-DIMENSIONAL-CUTTING-STOCK-PROBLEM-1D-CSP-WITH-SUSTAINABLE-TRIM-LOSS.pdf","https://scholar.google.com/scholar?q=related:-eZ4lpiyJ_wJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
10,"ZSM Nadoushani, AW Hammad…","A Framework for Optimizing Lap Splice Positions within Concrete Elements to Minimize Cutting Waste of Steel Bars",2016,"ISARC. Proceedings of …","researchgate.net","https://www.researchgate.net/profile/Ahmed-Wa-Hammad/publication/320170277_A_Framework_for_Optimizing_Lap_Splice_Positions_within_Concrete_Elements_to_Minimize_Cutting_Waste_of_Steel_Bars/links/59d44b3baca2721f436cee1e/A-Framework-for-Optimizing-Lap-Splice-Positions-within-Concrete-Elements-to-Minimize-Cutting-Waste-of-Steel-Bars.pdf","https://scholar.google.com/scholar?cites=1731407843351366862&as_sdt=2005&sciodt=2007&hl=en",22,"2023-05-11 11:55:16","PDF","","","",,,,,10,1.43,3,3,7,"… BIM with optimization techniques in order to minimize trim losses in the design stage [7]. … to minimize the rebar trim loss referred to as one-dimensional Cutting Stock Problem (1D-CSP). …","https://www.researchgate.net/profile/Ahmed-Wa-Hammad/publication/320170277_A_Framework_for_Optimizing_Lap_Splice_Positions_within_Concrete_Elements_to_Minimize_Cutting_Waste_of_Steel_Bars/links/59d44b3baca2721f436cee1e/A-Framework-for-Optimizing-Lap-Splice-Positions-within-Concrete-Elements-to-Minimize-Cutting-Waste-of-Steel-Bars.pdf","https://scholar.google.com/scholar?q=related:zoxImEIyBxgJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
4,"P Powar, S Samuel","One Dimensional Cutting Stock Problem (1D-CSP): A New approach for Sustainable Trim Loss",2018,"International journal of computer sciences …","researchgate.net","https://www.researchgate.net/profile/Siby-Samuel/publication/329525945_One_Dimensional_Cutting_Stock_Problem_1D-CSP_A_New_approach_for_Sustainable_Trim_Loss/links/5c0de34ea6fdcc494fe8881d/One-Dimensional-Cutting-Stock-Problem-1D-CSP-A-New-approach-for-Sustainable-Trim-Loss.pdf","https://scholar.google.com/scholar?cites=13964370495624571175&as_sdt=2005&sciodt=2007&hl=en",23,"2023-05-11 11:55:16","PDF","","","",,,,,4,0.80,2,2,5,"… It is referred as cutting required items from a fixed size called stock of bars, sheets etc. with an aim to minimize the waste of raw material. Therefore the optimization in CSP plays a …","https://www.researchgate.net/profile/Siby-Samuel/publication/329525945_One_Dimensional_Cutting_Stock_Problem_1D-CSP_A_New_approach_for_Sustainable_Trim_Loss/links/5c0de34ea6fdcc494fe8881d/One-Dimensional-Cutting-Stock-Problem-1D-CSP-A-New-approach-for-Sustainable-Trim-Loss.pdf","https://scholar.google.com/scholar?q=related:J-mlt_poy8EJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
0,"M Fathy, M Osama…","Evolutionary-based hybrid algorithm for 2D cutting stock problem",2015,"2015 IEEE Seventh …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7397260/?casa_token=-nrdIl7eiGQAAAAA:hZ5SIkeUEfgpA9AIMV85dty2tel1_2tP5XhbRRqaj1N2L_QV6D9aHwAVX-L1WIE375D2i8ZYbVJbDA","",24,"2023-05-11 11:55:16","","","","",,,,,0,0.00,0,3,8,"… We propose a novel 2D CSP optimization algorithm to minimize the waste from cutting single sized small rectangular pieces out of stock sheets with variable sizes. It is assumed that …","https://ieeexplore.ieee.org/iel7/7387214/7397173/07397260.pdf?casa_token=vVFgPgOP9PUAAAAA:Fn6ZTj3_Bscbln9EgoW9ltPCttHWTXYmw-HsOOMkPMGjtPPBbTJeoPXHFt8j5OClqzT_KKCpMLX89w","https://scholar.google.com/scholar?q=related:qsVSg2bfDJkJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
0,"G Gatica","A Mixed-Integer Linear Programming Model for the Cutting Stock Problem in the Steel Industry",2021,"Applied Computer Sciences in Engineering: 8th …","books.google.com","https://books.google.com/books?hl=en&lr=&id=ro5FEAAAQBAJ&oi=fnd&pg=PA313&dq=csp+minimize+cutting+waste&ots=JtNVrNPUh6&sig=1Vb0Qmni4a503n6Zs6Bxcy7Mmxk","",25,"2023-05-11 11:55:16","","","","",,,,,0,0.00,0,1,2,"… one dimension cutting stock problem (1D-CSP) in the steel industry. A case study of a metallurgical company is presented and the objective is to minimize waste in the cutting process of …","","https://scholar.google.com/scholar?q=related:jjzCz_mX1kUJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
1,"T Asvany, J Amudhavel, P Sujatha","ONE-DIMENSIONAL CUTTING STOCK PROBLEM WITH SINGLE AND MULTIPLE STOCK LENGTHS USING DPSO",2017,"Advances and Applications in …","mililink.com","https://www.mililink.com/upload/article/1993120505aams_v171_nov_2017_a9_p147-163_t._asvany,_j._amudhavel,_p._sujatha.pdf","https://scholar.google.com/scholar?cites=12318869922286099619&as_sdt=2005&sciodt=2007&hl=en",26,"2023-05-11 11:55:16","PDF","","","",,,,,1,0.17,0,3,6,"… cutting stock problem include Textile industries, Wood, Rod, Glass and Steel industries etc., the main objective of CSP is to minimize the wastage … one-dimensional cutting stock problem …","https://www.mililink.com/upload/article/1993120505aams_v171_nov_2017_a9_p147-163_t._asvany,_j._amudhavel,_p._sujatha.pdf","https://scholar.google.com/scholar?q=related:o1wbGO1q9aoJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
0,"S Sabeeh, SQ Dawood","One-Dimensional Cutting Stock Problem in Al-Mansour Company",2015,"Engineering and Technology Journal","iasj.net","https://www.iasj.net/iasj/download/0cd53accf1928877","",27,"2023-05-11 11:55:16","PDF","","","",,,,,0,0.00,0,2,8,"… cut out from long objects, the One- Dimensional Cutting Stock Problem (1D-CSP) is being appeared and caused increment in wastage … (AIMMS) software to minimize the trim losses …","https://www.iasj.net/iasj/download/0cd53accf1928877","https://scholar.google.com/scholar?q=related:36J2lCCnrEgJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
9,"V Benjaoran, N Sooksil, M Metham","Effect of demand variations on steel bars cutting loss",2019,"International Journal of …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/15623599.2017.1401258","https://scholar.google.com/scholar?cites=17471332460233616961&as_sdt=2005&sciodt=2007&hl=en",28,"2023-05-11 11:55:16","","10.1080/15623599.2017.1401258","","",,,,,9,2.25,3,3,4,"… -CSP is to minimize the trim loss which leads to minimizing … on the cutting loss, this research formulates the 1D-CSP model … the cutting waste on top of the optimization of 1D-CSP. Each …","","https://scholar.google.com/scholar?q=related:Qe75NE6kdvIJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
0,"V Sharma, S Samuel","A HEURISTIC METHOD FOR ONE DIMENSIONAL CUTTING STOCK PROBLEM (1D-CSP) WITH VARIABLE SUSTAINABLE TRIM LOSS",,"researchgate.net","","https://www.researchgate.net/profile/Siby-Samuel/publication/365943997_JOURNAL_OF_CRITICAL_REVIEWS_A_HEURISTIC_METHOD_FOR_ONE_DIMENSIONAL_CUTTING_STOCK_PROBLEM_1D-CSP_WITH_VARIABLE_SUSTAINABLE_TRIM_LOSS/links/63897988ca2e4b239c7e9f20/JOURNAL-OF-CRITICAL-REVIEWS-A-HEURISTIC-METHOD-FOR-ONE-DIMENSIONAL-CUTTING-STOCK-PROBLEM-1D-CSP-WITH-VARIABLE-SUSTAINABLE-TRIM-LOSS.pdf","",29,"2023-05-11 11:55:16","PDF","","","",,,,,0,0.00,0,2,,"… cutting stock problem involves the cutting of materials of high cost which demands the need of minimization of waste or leftover when consumed to cut … lengths to minimize the leftover. …","https://www.researchgate.net/profile/Siby-Samuel/publication/365943997_JOURNAL_OF_CRITICAL_REVIEWS_A_HEURISTIC_METHOD_FOR_ONE_DIMENSIONAL_CUTTING_STOCK_PROBLEM_1D-CSP_WITH_VARIABLE_SUSTAINABLE_TRIM_LOSS/links/63897988ca2e4b239c7e9f20/JOURNAL-OF-CRITICAL-REVIEWS-A-HEURISTIC-METHOD-FOR-ONE-DIMENSIONAL-CUTTING-STOCK-PROBLEM-1D-CSP-WITH-VARIABLE-SUSTAINABLE-TRIM-LOSS.pdf","https://scholar.google.com/scholar?q=related:EfNdJNkd6lsJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
3,"SS Zubaidy, SQ Dawood, ID Khalaf","Optimal utilization of rebar stock for cutting processes in housing project",2016,"Int. J. Adv. Res. Sci. Eng. Technol","","","https://scholar.google.com/scholar?cites=15518420387955133845&as_sdt=2005&sciodt=2007&hl=en",30,"2023-05-11 11:55:16","CITATION","","","",,,,,3,0.43,1,3,7,"","","https://scholar.google.com/scholar?q=related:lc0-ax-BXNcJ:scholar.google.com/&scioq=csp+minimize+cutting+waste&hl=en&as_sdt=2007&as_ylo=2015&as_yhi=2023"
